,0
732,-702335.277579
733,-707552.327199
734,-707980.262836
735,-707115.368315
736,-706984.952673
737,-707137.900804
738,-709077.477074
739,-707518.993162
740,-705408.075189
741,-705566.039571
742,-707808.872566
743,-709146.453301
744,-708543.03384
745,-706014.242945
746,-705990.611128
747,-708016.342962
748,-707489.904899
749,-707795.328196
750,-707758.652123
751,-707451.430889
752,-708129.287334
753,-702524.088399
754,-703893.223526
755,-703091.710826
756,-707337.415014
757,-709356.299787
758,-710591.123878
759,-710682.332611
760,-709757.543867
761,-708224.129287
762,-706452.853361
763,-703864.824854
764,-704332.632407
765,-706390.183449
766,-708449.188583
767,-709101.326609
768,-706718.089013
769,-706961.569109
770,-708386.474823
771,-709771.990786
772,-710077.239118
773,-708600.659863
774,-706861.789088
775,-708348.293279
776,-709119.809304
777,-706840.318889
778,-707333.243731
779,-707760.489778
780,-706149.870294
781,-704945.217776
782,-701177.36886
783,-701823.314761
784,-702629.013394
785,-702277.733472
786,-708045.713329
787,-707245.061638
788,-707396.753424
789,-705939.450944
790,-706251.210245
791,-707672.928285
792,-707630.653365
793,-708960.850787
794,-709973.314935
795,-710595.326789
796,-709009.927856
797,-708382.937311
798,-705627.219591
799,-704978.561652
800,-706696.914923
801,-705210.271397
802,-703721.557963
803,-704994.486102
804,-704803.188352
805,-705528.075891
806,-709601.161252
807,-710630.125715
808,-709934.616784
809,-709906.555855
810,-708605.225219
811,-702870.083119
812,-705188.70899
813,-707652.524575
814,-708790.34801
815,-706658.057586
816,-702811.213458
817,-705397.600704
818,-706036.210769
819,-706576.214864
820,-706828.100875
821,-707235.035523
822,-705867.841644
823,-705720.126593
824,-703956.004895
825,-706115.619682
826,-707732.833833
827,-708100.529451
828,-707067.245628
829,-707155.298821
830,-708187.254114
831,-706675.289228
832,-708936.085378
833,-709684.868156
834,-710183.690082
835,-706969.501508
836,-709107.407137
837,-709686.345693
838,-708199.016015
839,-702478.270385
840,-706600.155895
841,-706793.948685
842,-710228.460278
843,-709828.877384
844,-709422.583896
845,-707500.21445
846,-707939.187943
847,-709317.574187
848,-710285.495499
849,-709773.238976
850,-708943.540555
851,-709641.31908
852,-710140.291245
853,-708184.159183
854,-706144.774195
855,-703936.432381
856,-704454.132625
857,-707958.341692
858,-708405.166841
859,-709495.755589
860,-710765.232249
861,-706063.137475
862,-706355.030547
863,-703910.884341
864,-706826.871012
865,-705734.878621
866,-704836.017125
867,-703501.919114
868,-703378.354112
869,-700995.830299
870,-699956.317756
871,-700650.119784
872,-701284.901107
873,-706579.333319
874,-706399.445216
875,-708856.235633
876,-708004.966536
877,-703857.247708
878,-701972.867774
879,-702170.642003
880,-703120.987151
881,-707498.852875
882,-709925.72946
883,-709997.07344
884,-709849.954151
885,-709488.901005
886,-704146.410223
887,-707049.728123
888,-708612.767616
889,-708635.85956
890,-708526.180897
891,-708902.291836
892,-701977.576851
893,-706693.743016
894,-707355.62064
895,-707814.698723
896,-708595.300997
897,-708928.778326
898,-709484.535477
899,-708785.672934
900,-705689.897689
901,-703935.296052
902,-704611.743889
903,-703541.941293
904,-708016.000289
905,-709400.553002
